,seg
0,"['捏碎', '膨餅']"
1,['冰淇']
2,"['77', '乳加']"
3,['冰淇']
4,['珍珠粉']
5,"['炸雞', '可樂', '甜點', '紅茶', 'QQ', '肯德基', '大雨', '今天']"
6,['巧克力']
7,"['火鍋', 'XD', '優格', '冰淇淋', '甜甜', '麻辣', '蛋糕']"
8,"['https', 'youtu', 'RJjqAajbrPE']"
9,"['肉餅', '看幾次', '幾次', '黑色']"
10,"['炸雞排', '時會', '很累', '心情', '不好']"
11,"['發現', '一個', '一塊', '雞排', '開始鬱', '吃不完']"
12,"['Oreo', '冰旋風', '雞排', '牛奶', '香蕉']"
13,"['高油', '問幾次', '食物']"
14,[]
15,"['絕對', '粗纖維', '低油', '素食', '天然', '食物', '可能']"
16,"['變好', '甜食', '心情']"
17,['巧克力']
18,['麻辣']
19,['甜點']
20,['冰淇淋']
21,['巧克力']
22,['蛋糕']
23,"['雞排', '要切', '珍奶', '半糖', '多冰多', '珍珠', '不要']"
24,['巧克力']
25,['薯條']
26,"['我媽', '麻醬']"
27,['冰淇淋']
28,"['鸚鵡', 'https', 'imgur', 'com', 'SWOQ6Xu', 'jpg']"
29,"['樓上', '圖片', '恐怖']"
30,"['還是', '道具', '真的']"
31,"['orz', '血肉']"
32,"['忘記', '那篇文', 'po', '八卦', '真的']"
33,"['外帶', '或氣', '調酒', '適合', '泡水', '肯德基', '啤酒', '全家', '在家', '夏天']"
34,['樣吃']
35,"['高油', '高鹽', '高糖']"
36,['高脂肪']
37,['蛋黃派']
38,"['配無糖', '香蕉', '咖啡']"
39,"['各種', '炸物']"
40,['配可樂']
41,[]
42,['咖啡']
43,"['火鍋', '麻辣']"
44,['壽喜燒']
45,['珍奶']
46,['布丁']
47,"['冰淇淋', '蛋糕']"
48,[]
49,['冰淇淋']
50,['雞排']
51,[]
52,['西瓜']
53,['啤酒']
54,"['相關', '甜點', '喜歡', '冰淇淋', '巧克力', '之外', '除了', '其他']"
55,"['涼爽', '日子']"
56,['冰沙']
57,"['好紓壓', '食物']"
58,"['炒青菜', '各樣', '的熱', '各式']"
59,['冰淇淋']
60,['炸雞']
61,"['https', 'imgur', 'com', 'KohFBq6', 'jpg', '肥肚肚', '舒壓']"
62,"['炸物', '一堆']"
63,"['洋芋片', '零食', '差不多']"
64,['雞排']
65,[]
66,['餅乾']
67,['珍奶']
68,[]
69,"['布丁', '各種', '甜食', '巧克力']"
70,['雞排']
71,"['https', 'imgur', 'com', 'w9paUJA', 'jpg']"
72,"['雞排', '達斯', '哈根']"
73,['雞排']
74,['小泡']
75,['炸雞桶']
76,"['珍奶', '冰淇淋']"
77,['炸物']
78,"['炸物', '不愛', '好膩', '還要', '來配', 'XDD', '喜歡', '甜食']"
79,"['會訂', '外帶', '前在網', '訂然', '肯德基', '一桶', '下班', '全家', '周末', '路上']"
80,"['時候', '順便', 'XD', '全家', '回家', '一起']"
81,['珍珠']
82,"['超爽', '洋芋片']"
83,['提拉']
84,[]
85,"['臭豆腐', '啤酒']"
86,['花椰菜']
87,['火鍋']
88,['薯條']
89,"['珍奶', '達斯', '哈根', '奶油']"
90,"['冰淇淋', '蛋糕']"
91,['冰淇淋']
92,"['炸物', '甜食']"
93,['蛋白']
94,['地瓜']
95,"['喜歡', 'QQ']"
96,"['起司', '蛋黃']"
97,"['優格', '藍莓']"
98,['甜甜']
99,[]
100,"['蛋撻', '鐵類', '珍珠']"
101,[]
102,"['重酪', '蛋糕']"
103,['甜品']
104,"['雞排', '加珍奶']"
105,['牛排']
106,"['高熱量', '肥到', '那種']"
107,"['酥皮', '雞排', '蛋糕']"
108,['炸物']
109,['蛋糕']
110,['可樂']
111,"['大顆', '珍珠']"
112,['啤酒']
113,"['紅茶', '薯條', '摩斯']"
114,"['當然', '雞排']"
115,"['大薯', '珍奶', '披薩']"
116,['大麻']
117,['雞排']
118,"['炸雞', '火鍋', '甜品', '烤肉']"
119,[]
120,"['酸酸甜甜', '中藥', '糖果']"
121,[]
122,"['雞排', '珍奶', '冰淇淋']"
123,['雞排']
124,['奶茶']
125,"['辛拉', '加起司', '滿足']"
126,"['Twix', '薯條', '濃湯', '地瓜', '小包', '南瓜']"
127,['炸雞']
128,['可樂']
129,"['甜甜的', '巧克力']"
130,['炸雞']
131,"['波奶', '無誤']"
132,"['奶茶', '精神']"
