代碼,學校名稱,公/私立,縣市名稱,鄉鎮市區名稱,地址,電話
011K02,新北市私立溫特爾幼兒園,私立,[01]新北市,三峽區,[237]新北市三峽區龍埔里5鄰三樹路336號1、2、3樓,(02)26718181
011K03,新北市私立新榮富新莊幼兒園,私立,[01]新北市,新莊區,[242]新北市新莊區中信里13鄰中和街204巷1、3號，218巷2、6號，中信里12鄰中和街1、3、5、7、11號,(02)29922174
011K04,新北市私立崇儒幼兒園,私立,[01]新北市,中和區,[235]新北市中和區安樂里16鄰宜安路56之1號1樓,(02)29435789
011K05,新北市私立悅淨幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區流芳里9鄰東門街30之2號1樓之66、67、68、69,(02)29602160
011K09,新北市私立長興幼兒園,私立,[01]新北市,蘆洲區,[247]新北市蘆洲區正義里2鄰中正路377號、377號2樓、377號3樓之1,(02)82852098
011K0A,新北市私立立聖幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區港德里1鄰中正路230號（1、2、3層）及中正路230號2樓,(02)89698680
011K0B,新北市私立山姆幼兒園,私立,[01]新北市,鶯歌區,[239]新北市鶯歌區中鶯里8鄰仁愛路66號1樓、2樓、3樓(含地下1樓),(02)66375265
011K0C,新北市私立丹妮爾幼兒園,私立,[01]新北市,土城區,[236]新北市土城區日和里21鄰中央路一段285、287號,(02)22633647
011K0D,新北市私立喜星園幼兒園,私立,[01]新北市,三重區,[241]新北市三重區成功里19鄰成功路22號2樓之1,(02)89729002
011K0E,新北市私立學仕幼兒園,私立,[01]新北市,三重區,[241]新北市三重區光明里13鄰重新路三段202、204號2樓、3樓,(02)29747878
011K0F,新北市龍埔成長非營利幼兒園(委託財團法人成長文教基金會辦理),私立,[01]新北市,三峽區,[237]新北市三峽區龍學里1鄰大學路6號,(02)86716711#890
011K0G,新北市私立新育幼幼兒園,私立,[01]新北市,新莊區,[242]新北市新莊區思源里19鄰民樂街49號、55號,(02)29945388
011K0H,新北市私立福樂幼兒園,私立,[01]新北市,中和區,[235]新北市中和區中興里18鄰中興街200號,(02)22421777
011K0I,新北市私立陽光天使幼兒園,私立,[01]新北市,新店區,[231]新北市新店區大鵬里4鄰中正路700巷26號1樓,(02)82183336
011K0J,新北市私立勁寶兒長樂幼兒園,私立,[01]新北市,蘆洲區,[247]新北市蘆洲區中原里28鄰光復路34號1樓、34號2樓、34號3樓及36號2樓,(02)22881029
011K0K,新北市私立葳瑪藝術幼兒園,私立,[01]新北市,樹林區,[238]新北市樹林區南園里22鄰學士路20號,(02)35019031
011K0L,新北市私立北大迦美幼兒園,私立,[01]新北市,樹林區,[238]新北市樹林區柑園里13鄰大成路365號,(02)26800301
011K0M,新北市私立文聖幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區柏翠里4鄰雙十路3段10巷1弄8號1樓,(02)82584958
011K0N,新北市私立民治藝術幼兒園,私立,[01]新北市,中和區,[235]新北市中和區民有里14鄰民治街4號2樓,(02)22232690
011K0O,新北市私立永錡新莊幼兒園,私立,[01]新北市,新莊區,[242]新北市新莊區光華里2鄰民安西路410巷19號1、2、3樓,(02)22035588
011K0P,新北市私立小木屋蒙特梭利幼兒園,私立,[01]新北市,林口區,[244]新北市林口區南勢里13鄰民族路9號1樓,(02)26080828
011K0Q,新北市私立愛妮爾國際幼兒園,私立,[01]新北市,土城區,[236]新北市土城區大安里4鄰中央路3段99號,(02)22689597
011K0R,財團法人華山愛德教育基金會附設新北市私立林口愛德幼兒園,私立,[01]新北市,林口區,[244]新北市林口區麗園里18鄰忠孝路542巷11弄2之5號1樓至3樓,(02)26002908
011K0S,新北市私立新二重幼兒園,私立,[01]新北市,三重區,[241]新北市三重區二重里1鄰忠孝路三段93巷6號2樓,(02)89815751
011K0T,新北市私立娃娃國幼兒園,私立,[01]新北市,三峽區,[237]新北市三峽區龍學里18鄰大義路239號,(02)86719717
011K0U,新北市私立松林幼兒園,私立,[01]新北市,淡水區,[251]新北市淡水區崁頂里1鄰中山北路二段189巷100號1樓,(02)26225564
011K0V,新北市私立薇吉妮亞幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區廣福里5鄰和平路6巷1號1至3樓,(02)29649377
011K0W,新北市私立福祿貝爾幼兒園,私立,[01]新北市,林口區,[244]新北市林口區湖南里23鄰民權路110號1、2樓,(02)26086338
011K0X,新北市私立泉慧幼兒園,私立,[01]新北市,蘆洲區,[247]新北市蘆洲區正義里12鄰長興路293號1樓,(02)22885153
011K0Y,財團法人天主教會台北教區附設新北市私立聖言幼兒園,私立,[01]新北市,樹林區,[238]新北市樹林區樹西里7鄰中山路一段154號1樓至3樓,(02)26831610#108
011K0Z,新北市私立謙禧幼兒園,私立,[01]新北市,中和區,[235]新北市中和區佳和里10鄰中山路二段64巷12弄1號1樓,(02)22493787
011K10,新北市私立英勝幼兒園,私立,[01]新北市,新莊區,[242]新北市新莊區昌平里1鄰富貴路88號1、2、3樓,(02)85213736
011K11,新北市安溪非營利幼兒園(委託社團法人桃園市教保服務人員協會辦理),私立,[01]新北市,三峽區,[237]新北市三峽區礁溪里25鄰中華路42號,(02)26718607
011K12,財團法人中華民國佛教慈濟慈善事業基金會附設新北市私立臺北大愛幼兒園,私立,[01]新北市,新店區,[231]新北市新店區復興里13鄰建國路279號1樓,(02)40510777#4237
011K13,新北市漢翔非營利幼兒園(委託財團法人三之三生命教育基金會辦理),私立,[01]新北市,三峽區,[237]新北市三峽區龍學里31鄰大學路218號1至3樓,(02)26729891
011K14,寶寶潛能開發股份有限公司附設新北市私立奇異鳥蘆洲幼兒園,私立,[01]新北市,蘆洲區,[247]新北市蘆洲區正義里2鄰中正路373號1、2樓,(02)82855656
011K15,新北市私立陽光幼兒園,私立,[01]新北市,八里區,[249]新北市八里區大崁里11鄰文心街112號,(02)26193688
011K16,新北市北大非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),私立,[01]新北市,三峽區,[237]新北市三峽區龍埔里31鄰國光街100號A棟1樓至2樓,(02)86717373
011K17,新北市鷺江非營利幼兒園(委託財團法人彭婉如文教基金會辦理),私立,[01]新北市,蘆洲區,[247]新北市蘆洲區正義里10鄰長樂路235號1樓,(02)82854336
011K18,新北市昌平非營利幼兒園（委託財團法人三之三生命教育基金會辦理）,私立,[01]新北市,新莊區,[242]新北市新莊區昌平里8鄰昌平街200號1、2樓,(02)85219488
011K19,新北市私立艾法貝爾幼兒園,私立,[01]新北市,板橋區,[220]新北市板橋區深丘里7鄰區運路43號,(02)29588860
011K1A,新北市私立實踐菁英幼兒園,私立,[01]新北市,中和區,[235]新北市中和區福真里38鄰中山路2段332巷76號1樓,(02)22475433
011K1B,新北市私立集賢幼兒園,私立,[01]新北市,蘆洲區,[247]新北市蘆洲區玉清里6鄰集賢路292號1、2、3樓,(02)77301234
011K1C,龍騰文化事業股份有限公司附設新北市私立林口康橋國際幼兒園,私立,[01]新北市,林口區,[244]新北市林口區西林里35鄰興林一街91巷13號1樓,(02)26031588
011K1D,新北市私立新仁愛幼兒園,私立,[01]新北市,泰山區,[243]新北市泰山區全興里2鄰福興二街37號1樓,(02)29097007
011K1E,新北市私立成德菁英幼兒園,私立,[01]新北市,新莊區,[242]新北市新莊區西盛里5鄰民安東路66號1、2、3樓,(02)22036555
011K1F,新北市私立史丹力幼兒園,私立,[01]新北市,蘆洲區,[247]新北市蘆洲區正義里3鄰光榮路96、98號2樓,(02)28479900
011K1G,新北市私立新林幼兒園,私立,[01]新北市,林口區,[244]新北市林口區中湖里7鄰中北三街52號,(02)86018669
011K1H,新北市私立翊華三重國際幼兒園,私立,[01]新北市,三重區,[241]新北市三重區富貴里32鄰集賢路181號,(02)28572045
011K1I,新北市大觀非營利幼兒園(委託社團法人新北市中華國際嬰幼兒發展學會辦理),私立,[01]新北市,板橋區,[220]新北市板橋區浮洲里25鄰僑中一街1號1樓,(02)89650800
011K1J,新北市安興非營利幼兒園(委託社團法人臺灣兒童教育發展協會辦理),私立,[01]新北市,新店區,[231]新北市新店區安和里28鄰安興路129號1、2、3樓,(02)22126606
011K1K,新北市中平非營利幼兒園(委託社團法人新北市中華國際嬰幼兒發展學會辦理),私立,[01]新北市,新莊區,[242]新北市新莊區立廷里40鄰中平路385號1樓,(02)89910098
011K1L,新北市新林非營利幼兒園(委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理),私立,[01]新北市,林口區,[244]新北市林口區南勢里19鄰三民路101號1樓,(02)26099522
011K1M,社團法人新竹市教保人員協會附設新北市私立新莊聯合幼兒園,私立,[01]新北市,新莊區,[242]新北市新莊區中原里1鄰中平路439號,(02)85218242
011K1N,新北市新月非營利幼兒園(委託財團法人彭婉如文教基金會辦理),私立,[01]新北市,板橋區,[220]新北市板橋區中正里12鄰中正路437號1樓、2樓,(02)29665136
011K1O,新北市三多非營利幼兒園(委託廣亞學校財團法人設立之廣亞學校財團法人育達科技大學辦理),私立,[01]新北市,樹林區,[238]新北市樹林區羌寮里15鄰三多路101號1樓,(02)86883352
011K1P,新北市昌福非營利幼兒園(委託中華民國文教產業發展暨補習服務品保協會辦理),私立,[01]新北市,鶯歌區,[239]新北市鶯歌區永昌里4鄰永明路22號1樓,(02)26708189
011K1Q,新北市積穗非營利幼兒園(委託財團法人三之三生命教育基金會辦理),私立,[01]新北市,中和區,[235]新北市中和區文元里35鄰民安街66號1、2樓,(02)32340533
011K1R,新北市中正非營利幼兒園(委託財團法人三之三生命教育基金會辦理),私立,[01]新北市,土城區,[236]新北市土城區青雲里10鄰金城路二段247號1樓,(02)22707998
011K1S,新北市福營非營利幼兒園(委託社團法人中華兆陽文教發展協會辦理),私立,[01]新北市,新莊區,[242]新北市新莊區萬安里8鄰富國路105號1樓,(02)22022202
011K1T,新北市私立華邇街美善幼兒園,私立,[01]新北市,林口區,[244]新北市林口區麗園里18鄰忠孝路542巷10弄5號,(02)26096005
011K1U,新北市私立萬美憶月幼兒園,私立,[01]新北市,林口區,[244]新北市林口區中湖里7鄰文化一路2段175、177、179號1樓及夾層,(02)26022568
011K1V,新北市私立維格爾欣悅幼兒園,私立,[01]新北市,汐止區,[221]新北市汐止區樟樹里8鄰工建路358號,(02)26498369
011K1W,新北市私立優時代幼兒園,私立,[01]新北市,新店區,[231]新北市新店區張北里32鄰中興路2段189號1樓、2樓,(02)29150988
