醫院名稱,區域,醫院地址,醫院電話,急診服務,業務類別
仁愛犬醫院,東區,進化路122號,04-22126987,21時至24時急診需預約,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容"
惠犬動物醫院,西區,美村路一段631號,04-23730123,限舊客戶，不分時段，急診電話0919028362,"合法動物醫院,特約狂犬病預防注射"
全國動物醫院,西區,五權八街100號,04-23710496,夜間急診服務，週一至週日晚上21:30~上午8:30,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術"
羅大宇動物醫院,西區,存中街153號,04-23728378,21:30-23:00夜間急診服務，先電話聯絡。,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術"
中台動物醫院,北區,中清路一段693號,04-22922955,19:00~24:00急診服務，先電話預約。,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容"
濟生動物醫院,北屯區,北平路3段75-12號,04-22385886 04-22384995,24小時急診服務，先電話預約。,"合法動物醫院,特約狂犬病預防注射"
永昌動物醫院,北屯區,北屯路32號,04-22356236,夜間急診服務，週一至日21:00~22:00,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容"
康德動物醫院,北屯區,崇德路二段270號,04-22412700,24小時急診,合法動物醫院
慈愛動物醫院中港分院,大里區,國光路二段539號,04-24066688,24小時急診,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術"
成大動物醫院,清水區,臨港路五段658巷27號,0908-198108,21:00~6:00急診,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術"
