項次,商店全名,連絡電話,商店地址
1,東杰宏實業有限公司,04-26237698,436臺中市清水區五權東路160號1樓
2,棉花田大隆門市,02-27555268,407臺中市西屯區大隆路168號
3,台中超市有限公司,04-26912848,432臺中市大肚區遊園路2段23號
4,佳佳樂五金百貨,04-26997213,432臺中市大肚區育樂街31號
5,永昇電器行,04-26231676,436臺中市清水區新興路17號
6,金金電器行,04-24920443,412臺中市大里區成功二路95號
7,隆達廚具行,04-24920443,412臺中市大里區中興路一段232號
8,富盟企業社,04-22961969,406臺中市北屯區中清路2段506號
9,金銓電器行,04-22609096,402臺中市南區美村南路115號
10,超全電子音響專賣店,04-25222723,420臺中市豐原區中正路159號
11,東大數位生活館,04-24368177,406臺中市北屯區東山路1段250-1號
12,益詮有限公司,04-24830880,412臺中市大里區中新里德芳南路１６８號１樓
13,子曰書局,04-24854361,412臺中市大里區中興路二段386之7號
14,駿銓電腦有限公司,04-25154588#9,420臺中市豐原區三豐路2段23號
15,鑫鑫生鮮超市,04-26991156,432臺中市大肚區沙田路二段204號
16,全國電子股份有限公司台中市第一分公司,04-23591688#206,408臺中市南屯區三厝里黎明路二段462號
17,全國電子股份有限公司台中市第二分公司,04-23591688#206,408臺中市南屯區溝墘里文心路一段430、432號
18,全國電子股份有限公司台中縣第一分公司,04-23591688#206,420臺中市豐原區中山里中正路161號
19,全國電子股份有限公司台中縣第十四分公司,04-23591688#206,420臺中市豐原區北陽里圓環東路686、688、690號
20,全國電子股份有限公司台中市第五分公司,04-23591688#206,407臺中市西屯區何安里文心路三段70、72號
21,全國電子股份有限公司台中市第六分公司,04-23591688#206,402臺中市南區德義里國光路170號
22,全國電子股份有限公司台中縣第三分公司,04-23591688#206,437臺中市大甲區朝陽里文武路22號
23,全國電子股份有限公司台中市第八分公司,04-22353811,406臺中市北屯區三光里北屯路178-5、178-6號
24,全國電子股份有限公司台中市第九分公司,04-23591688#206,404臺中市北區光大里五權路267號及大雅路4、6號
25,全國電子股份有限公司台中縣第五分公司,04-23591688#206,423臺中市東勢區中寧里豐勢路492號
26,全國電子股份有限公司台中縣第六分公司,04-23591688#206,412臺中市大里區東興里國光路二段704、706號
27,全國電子股份有限公司台中市第十三分公司,04-23591688#206,406臺中市北屯區平德里崇德路二段101號
28,全國電子股份有限公司台中縣第七分公司,04-23591688#206,411臺中市太平區中興里中興路176號
29,全國電子股份有公司台中縣第九分公司,04-23591688#206,412臺中市大里區仁化里仁化路762號
30,全國電子股份有公司台中縣第十分公司,04-23591688#206,433臺中市沙鹿區美仁里中正街51號
31,全國電子股份有限公司台中縣第十一分公司,04-23591688#206,436臺中市清水區清水里中山路106號
32,全國電子股份有限公司台中縣第十二分公司,04-23591688#206,413臺中市霧峰區甲寅村中正路1193、1195號
33,全國電子股份有公司台中縣第十三分公司,04-23591688#206,421臺中市后里區甲后路262號
34,全國電子股份有限公司台中市第十六分公司,04-23591688#206,406臺中市北屯區大德里中清路72-8-8號
35,全國電子股份有限公司台中市第十七分公司,04-23591688#206,401臺中市東區十甲里精武東路210號
36,全國電子股份有限公司台中縣第十六分公司,04-23591688#206,427臺中市潭子區潭陽村圓通南路180號、中山路2段131、133號
37,全國電子股份有限公司台中縣第十七分公司,04-23591688#206,420臺中市豐原區豐西里中正路470號
38,全國電子股份有限公司台中市第十一分公司,04-23591688#206,401臺中市東區振興里建成路700號
39,全國電子股份有限公司台中縣第十八分公司,04-23591688#206,428臺中市大雅區文雅村中清南路253號
40,全國電子股份有限公司台中市第十分公司,04-23591688#206,402臺中市南區工學里復興路一段415-4號
41,全國電子股份有限公司台中市第二十分公司,04-23591688#206,407臺中市西屯區何福里西屯路二段16-2號
42,全國電子股份有限公司台中縣第十九分公司,04-23591688#206,411臺中市太平區新福里中山路四段163、165號
43,全國電子股份有限公司台中縣第二十分公司,04-23591688#206,414臺中市烏日區九德村中山路一段376、378號
44,全國電子股份有限公司台中市第二十一分公司,04-23591688#206,407臺中市西屯區逢甲里河南路二段317號
45,全國電子股份有限公司台中縣第二十一分公司,04-23591688#206,412臺中市大里區內新里中興路二段446之3號
46,全國電子股份有限公司台中市第二十二分公司,04-23591688#206,404臺中市北區賴厝里大雅路436號
