醫院名稱,開業證號,區域,醫院地址,醫院電話,業務類別,門診時間
鑫鑫動物醫院,中市獸醫開字第105041號,中區,中華路一段112號,04-22254169,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
安生動物醫院,中市獸醫開字第105139號,太平區,新興路219號,04-23955466,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容",
仁愛犬醫院,中市獸醫開字第105078號,東區,進化路122號,04-22126987,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容",21時至24時急診需預約
富台動物醫院,中市獸醫開字第105185號,東區,練武路244號,04-22114331,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
東大動物醫院,中市獸醫開字第105063號,東區,信義街43號,04-22204161,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
健生動物醫院,中市獸醫開字第105197號,大里區,東榮路306號,04-24818966,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
國立台中高農附設家畜醫院,中市獸醫開字第105028號,東區,臺中路283號,04-22810010,合法動物醫院,
大安動物醫院,中市獸醫開字第105004號,東區,十甲路230號,04-22125619,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
米懷谷動物醫院,中市獸醫開字第105155號,東區,大興街22號,04-22822679,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
何康動物醫院,中市獸醫開字第105158號,東區,十甲東路657號,04-22154869,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
高生動物醫院,中市獸醫開字第109010號,南區,信義南街249號,04-22211008,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
佳恩動物醫院,中市獸醫開字第105070號,南區,美村路二段88號,04-23713806,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
長和動物醫院,中市獸醫開字第105002號,南區,國光路45號,04-22219626,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容",
聖愛動物醫院,中市獸醫開字第105037號,南區,復興路1段405號,04-22619245,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
國立中興大學獸醫教學醫院,中市獸醫開字第105084號,南區,國光路250-1號,04-22840404,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
崇倫動物醫院,中市獸醫開字第105142號,南區,忠明南路578號,04-23718709,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
成大動物醫院,中市獸醫開字第105056號,清水區,臨港路五段658巷27號,0908-198108,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",21:00~6:00急診
迦南動物醫院,中市獸醫開字第105135號,南區,高工路285號,04-22651515,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容",
祥億動物醫院,中市獸醫開字第105027號,南區,復興路一段259號,04-22606450,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
五福動物醫院,中市獸醫開字第105167號,南區,忠明南路893-1號,04-22620622,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
達爾文動物醫院,中市獸醫開字第105229號,西區,博館路157號,04-23262759,合法動物醫院,
裕源動物醫院,中市獸醫開字第105099號,西區,五權路2-199號,04-23717741,"合法動物醫院,特約狂犬病預防注射",
惠犬動物醫院,中市獸醫開字第105076號,西區,美村路一段631號,04-23730123,"合法動物醫院,特約狂犬病預防注射",限舊客戶，不分時段，急診電話0919028362
人人動物醫院,中市獸醫開字第105154號,西區,公正路146號,04-23028848,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
美安家畜醫院,中市獸醫開字第105021號,西區,民生路380號,04-23026441,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦急難救助,委辦動物中途收容",
全國動物醫院,中市獸醫開字第105060號,西區,五權八街100號,04-23710496,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",夜間急診服務 週一至週日晚上21:30~上午8:30
興緣動物醫院,中市獸醫開字第105065號,西區,五廊街63號,04-23729699,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
大佳動物醫院,中市獸醫開字第105160號,西屯區,四川路97號,04-23131759,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",
全國動物醫院精業分院,中市獸醫開字第105146號,南屯區,大業路357號1、2樓,04-22520993,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
東興動物醫院,中市獸醫開字第105035號,西區,東興路3段164號,04-23271908,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
陽光動物醫院,中市獸醫開字第105215號,西區,中華路一段3-5號,04-22262579,"合法動物醫院,特約狂犬病預防注射",
晨星動物醫院,中市獸醫開字第105203號,西區,大明街4號,04-22290816,合法動物醫院,
羅大宇動物醫院,中市獸醫開字第105046號,西區,存中街153號,04-23728378,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",21:30-23:00夜間急診服務，先電話聯絡。
百科動物醫院,中市獸醫開字第105208號,西區,忠明南路223號,04-23055172,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術,委辦動物中途收容",採預約制
華碩動物醫院,中市獸醫開字第105019號,西區,向上路一段126號,04-23015098,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射",
天一犬醫院,中市獸醫開字第105176號,北區,進化路547號,04-22335026,合法動物醫院,
一心獸醫院,中市獸醫開字第105131號,北區,錦華街56號,04-22351677,"合法動物醫院,委辦寵物登記,特約狂犬病預防注射,委辦寵物絕育手術",
